"Part";"Value";"Device";"Package";"Description";"";
"C1";"1uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C2";"1uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"CON1";"7WAYSINGLEROW";"7WAYSINGLEROW";"7WAYSINGLEROW";"";"";
"CON2";"14WAY1ROW";"14WAY1ROW";"14WAY1ROW";"";"";
"HDR1";"ARDUINOPROMINIDIP";"ARDUINOPROMINIDIP";"ARDUINOPROMINIDIP";"";"";
"HDR2";"ILI9341DISPLAY";"ILI9341DISPLAY";"ILI9341DISPLAY";"";"";
"HDR3";"5110LCD";"5110LCD";"5110HEADER";"";"";
"Q1";"IRLFL6402";"IRLFL6402";"SOT23";"";"";
"R1";"91K";"125MWRESISTOR";"125MWRESISTOR";"";"";
"R2";"11K";"125MWRESISTOR";"125MWRESISTOR";"";"";
"R3";"4K7";"125MWRESISTOR";"125MWRESISTOR";"";"";
"R4";"4K7";"125MWRESISTOR";"125MWRESISTOR";"";"";
"R5";"10K";"125MWRESISTOR";"125MWRESISTOR";"";"";
"R6";"10K";"125MWRESISTOR";"125MWRESISTOR";"";"";
"R7";"10K";"125MWRESISTOR";"125MWRESISTOR";"";"";
"R8";"47K";"125MWRESISTOR";"125MWRESISTOR";"";"";
"R9";"1K";"125MWRESISTOR";"125MWRESISTOR";"";"";
